priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,latitude,longitude
3168.0,2020,2020-08-21,T,F,396000,CF23 5AJ,W06000015,{B82222ED-646B-6691-E053-6B04A8C02FB2},22626247,125.0,6.0,12,65,79,England and Wales: 1900-1929,51.49545,-3.15446
3975.40983606557,2022,2022-03-08,T,F,485000,CF23 5AJ,W06000015,{E073986B-DFC2-2134-E053-6C04A8C0233B},22682019,122.0,6.0,12,56,81,England and Wales: 1900-1929,51.49545,-3.15446
3678.01597309794,2020,2020-03-13,F,F,350000,CF23 5AJ,W06000015,{A71375FD-EE9A-7576-E053-6C04A8C0462F},22693602,95.16,5.0,11,46,58,England and Wales: 1900-1929,51.49545,-3.15446
3791.20879120879,2019,2019-02-08,T,F,345000,CF23 5AJ,W06000015,{8355F008-CDDA-55C5-E053-6B04A8C0D090},22710728,91.0,5.0,11,58,76,England and Wales: 1900-1929,51.49545,-3.15446
3200.0,2021,2021-03-05,T,F,288000,CF23 5AJ,W06000015,{C3C3F9B5-8188-362B-E053-6B04A8C03ACC},22710985,90.0,5.0,11,64,84,England and Wales: 1900-1929,51.49545,-3.15446
3041.66666666667,2020,2020-10-30,T,F,365000,CF23 5AL,W06000015,{B82222EC-98E5-6691-E053-6B04A8C02FB2},22714958,120.0,5.0,11,56,77,England and Wales: 1900-1929,51.49525,-3.15411
3062.01550387597,2020,2020-11-30,T,F,395000,CF23 5AL,W06000015,{BA558B32-507F-76EF-E053-6B04A8C0B4B7},22690692,129.0,6.0,12,55,80,England and Wales: 1930-1949,51.49525,-3.15411
3333.33333333333,2019,2019-04-18,T,F,330000,CF23 5AL,W06000015,{8A78B2B0-2657-5CB0-E053-6B04A8C0F504},22730283,99.0,5.0,11,58,77,England and Wales: 1930-1949,51.49525,-3.15411
4443.16214656665,2021,2021-02-01,T,F,385000,CF23 5AN,W06000015,{BEF7EBBF-6994-7A76-E053-6B04A8C092F7},22716916,86.65,5.0,11,56,72,England and Wales: 1930-1949,51.49516,-3.1537099
3170.28985507246,2021,2021-04-30,T,F,437500,CF23 5AN,W06000015,{CB0035E6-4E6A-58AE-E053-6B04A8C091AF},22741815,138.0,7.0,11,71,80,England and Wales: 1967-1975,51.49516,-3.1537099
3138.29787234043,2019,2019-05-01,T,F,295000,CF23 5AN,W06000015,{8A78B2AF-6112-5CB0-E053-6B04A8C0F504},22646903,94.0,5.0,11,55,74,England and Wales: 1900-1929,51.49516,-3.1537099
4038.46153846154,2020,2020-02-24,T,F,420000,CF23 5AN,W06000015,{AC07BBD0-86FC-0445-E053-6C04A8C01E31},22658094,104.0,5.0,12,60,81,England and Wales: 1900-1929,51.49516,-3.1537099
3050.39787798408,2019,2019-09-12,T,F,345000,CF23 5AN,W06000015,{965B6D92-04DE-95E4-E053-6C04A8C07729},22680131,113.1,5.0,11,46,67,England and Wales: 1900-1929,51.49516,-3.1537099
3681.31868131868,2019,2019-05-28,T,F,335000,CF23 5AN,W06000015,{8F1B26BD-7689-53DB-E053-6C04A8C03649},22706393,91.0,5.0,11,58,74,England and Wales: 1900-1929,51.49516,-3.1537099
4144.32989690722,2021,2021-05-27,T,F,402000,CF23 5AN,W06000015,{CFC9085D-26A5-9A70-E053-6B04A8C09D6A},22742286,97.0,7.0,11,70,86,England and Wales: 1930-1949,51.49516,-3.1537099
5412.63736263736,2022,2022-03-25,T,F,492550,CF23 5AN,W06000015,{DE2D0CDF-7675-51EE-E053-6C04A8C00671},22706393,91.0,5.0,11,58,74,England and Wales: 1900-1929,51.49516,-3.1537099
2361.11111111111,2020,2020-09-04,T,F,340000,CF23 5AP,W06000015,{C18F412B-6E10-81A6-E053-6B04A8C0AD18},22665271,144.0,7.0,11,76,83,England and Wales: 1900-1929,51.49386,-3.15212
